

[4]:22 6 27 周一 10:10:04
XRPUSDT
样本数:500 总匹配量:500 百分比:1
prev_weight:4, max_weight:3, price_weight:3, close_weight:3, volume_weight:2, need_weight:35, similar_range:0.1, similar_val:0.005, need_count:150, RATE_DELTA:0.05, E_DELTA:0.0001, 
优质数:220	正确率:62.273%	交易期望:0.101%
18109 num:7616 	3-e涨幅:0.034% e涨率:58.309% 	False:-0.585%
18110 num:5795 	1-e涨幅:0.024% e涨率:56.85% 	False:-0.156%
18110 num:5795 	2-e涨幅:0.035% e涨率:58.994% 	False:-0.357%
18110 num:5795 	3-e涨幅:0.048% e涨率:59.382% 	False:-0.016%
18111 num:4616 	1-e涨幅:0.022% e涨率:56.76% 	False:-0.202%
18111 num:4616 	2-e涨幅:0.035% e涨率:58.76% 	True:0.139%
18111 num:4616 	3-e涨幅:0.051% e涨率:59.882% 	True:0.33%
18112 num:4335 	1-e涨幅:0.026% e涨率:57.022% 	True:0.341%
18112 num:4335 	2-e涨幅:0.048% e涨率:59.925% 	True:0.532%
18112 num:4335 	3-e涨幅:0.062% e涨率:61.152% 	True:0.136%
18115 num:6623 	2-e涨幅:0.018% e涨率:57.461% 	True:0.461%
18115 num:6623 	3-e涨幅:0.017% e涨率:58.834% 	True:1.217%
18116 num:9508 	2-e涨幅:0.025% e涨率:57.824% 	True:1.25%
18116 num:9508 	3-e涨幅:0.033% e涨率:59.038% 	True:1.057%
18124 num:5830 	2-e涨幅:-0.011% e涨率:44.783% 	True:-0.066%
18125 num:4007 	2-e涨幅:-0.013% e涨率:44.561% 	True:-0.278%
18125 num:4007 	3-e涨幅:-0.018% e涨率:44.573% 	True:-0.147%
18128 num:6816 	1-e涨幅:-0.011% e涨率:43.743% 	True:-0.279%
18128 num:6816 	2-e涨幅:-0.015% e涨率:44.973% 	True:-0.22%
18146 num:7528 	2-e涨幅:-0.018% e涨率:44.617% 	False:0.403%
18146 num:7528 	3-e涨幅:-0.015% e涨率:44.68% 	False:0.322%
18147 num:7506 	1-e涨幅:-0.013% e涨率:43.574% 	False:0.402%
18147 num:7506 	2-e涨幅:-0.022% e涨率:44.224% 	False:0.321%
18147 num:7506 	3-e涨幅:-0.017% e涨率:44.952% 	False:0.193%
18148 num:2896 	1-e涨幅:-0.01% e涨率:41.322% 	True:-0.081%
18148 num:2896 	2-e涨幅:-0.02% e涨率:43.108% 	True:-0.209%
18148 num:2896 	3-e涨幅:-0.024% e涨率:43.527% 	True:-0.272%
18149 num:4146 	1-e涨幅:-0.012% e涨率:42.38% 	True:-0.128%
18149 num:4146 	2-e涨幅:-0.021% e涨率:43.687% 	True:-0.191%
18149 num:4146 	3-e涨幅:-0.019% e涨率:44.072% 	False:0.164%
18152 num:5299 	2-e涨幅:-0.014% e涨率:44.338% 	False:0.535%
18153 num:5715 	1-e涨幅:-0.013% e涨率:42.176% 	False:0.451%
18153 num:5715 	2-e涨幅:-0.018% e涨率:43.943% 	False:0.188%
18153 num:5715 	3-e涨幅:-0.018% e涨率:44.373% 	True:-0.011%
18154 num:1853 	3-e涨幅:-0.021% e涨率:43.835% 	True:-0.462%
18155 num:5317 	3-e涨幅:-0.019% e涨率:44.599% 	True:-0.082%
18200 num:33044 	3-e涨幅:0.013% e涨率:55.001% 	True:0.054%
18232 num:3216 	1-e涨幅:-0.011% e涨率:41.124% 	True:-0.304%
18232 num:3216 	2-e涨幅:-0.013% e涨率:43.613% 	False:0.097%
18234 num:4568 	1-e涨幅:-0.012% e涨率:44.035% 	True:-0.152%
18234 num:4568 	2-e涨幅:-0.018% e涨率:44.874% 	True:-0.154%
18234 num:4568 	3-e涨幅:-0.015% e涨率:44.984% 	True:-0.182%
18349 num:15385 	2-e涨幅:0.02% e涨率:56.82% 	False:-0.065%
18349 num:15385 	3-e涨幅:0.024% e涨率:57.008% 	False:-0.304%
18350 num:29021 	3-e涨幅:0.016% e涨率:55.651% 	False:-0.232%
18351 num:25437 	3-e涨幅:0.015% e涨率:56.11% 	False:-0.139%
18352 num:17170 	2-e涨幅:0.019% e涨率:56.761% 	True:0.1%
18352 num:17170 	3-e涨幅:0.024% e涨率:57.602% 	True:0.295%
18353 num:24559 	3-e涨幅:0.015% e涨率:56.288% 	True:0.067%
18360 num:27365 	3-e涨幅:0.011% e涨率:55.584% 	False:-0.466%
18361 num:24216 	3-e涨幅:0.012% e涨率:55.862% 	False:-0.469%
18362 num:20491 	2-e涨幅:0.012% e涨率:55.637% 	False:-0.371%
18362 num:20491 	3-e涨幅:0.017% e涨率:56.736% 	False:-0.703%
18363 num:10189 	2-e涨幅:0.027% e涨率:58.136% 	False:-0.43%
18363 num:10189 	3-e涨幅:0.036% e涨率:59.127% 	False:-1.039%
